,product_name,new_price,old_price,discount_ratio,shipping,rating_point,rating_number,seller_name,seller_point,price_class
0,Erkek Çocuk Keten Spor Ayakkabı,29.0,89.0,67,freeShipping,30,2,OdesaAyakkabı,84,1
1,Kadın Casual Bağcıklı Spor Ayakkabı,44.0,99.0,55,freeShipping,0,0,OdesaAyakkabı,84,1
2,Ayakland Nprs 75 Air Günlük Bayan Spor Ayakkabı Siyah-Beyaz,49.0,54.0,9,freeShipping,100,1,AykaButik,100,1
3,Erkek Spor Ayakkabı 2003-101-0001,42.0,64.0,33,noShipping,20,1,GOBLONDON,91,1
4,Pembe Kız Çocuk Keten Spor Ayakkabı,29.0,99.0,70,freeShipping,0,0,OdesaAyakkabı,84,1
5,SONIMIX EVA MASAJLI TERLİK,34.0,0.0,0,freeShipping,50,3,eratsport,86,1
6,Tatami Minder 50*50 cm 13 mm kalınlık yer döşemesi oyun alanları,7.0,17.0,59,noShipping,80,12,clk-06,100,1
7,Albishoes Unisex Çocuk Siyah Beyaz Cırtlı Spor Ayakkabı,34.0,44.0,22,noShipping,100,2,albiterlik,81,1
8,Dambıl 1KG/2KG/3KG/4KG/5KG/6KG/8KG/10KG X 2 ADET ÜCRETSİZ KARGO!!,39.0,0.0,0,freeShipping,80,7,semticaret,66,1
9,Kadın Spor Ayakkabı 1029-101-0005,38.0,57.0,33,noShipping,0,0,GOBLONDON,91,1
10,Sonimix E8007 Lacivert Erkek Masaj Taban Havuz/Deniz Terlik,42.0,69.0,40,freeShipping,0,0,BudaksKundura,92,1
11,Slazenger FOOT Erkek Terlik Siyah / Kırmızı,39.0,69.0,43,noShipping,100,9,Slazenger,92,1
12,O'neill Parmak Arası Terlik Orjinal,15.0,90.0,83,noShipping,0,0,Graceskateshop,99,1
13,Slazenger ORBAN Erkek Terlik Siyah / Kırmızı,29.0,59.0,50,noShipping,0,0,Slazenger,92,1
14,Kadın Spor Ayakkabı 1029-101-0017,38.0,57.0,33,noShipping,0,0,GOBLONDON,91,1
15,Uzun Keten Spor Ayakkabı,29.0,99.0,70,freeShipping,100,1,OdesaAyakkabı,84,1
16,Slazenger OPAL Erkek Terlik Siyah / K.Gri,32.0,64.0,50,noShipping,0,0,Slazenger,92,1
17,Adidas INF CAP K 1PC - M66935,29.0,55.0,47,noShipping,0,0,Spormarkt,99,1
18,Adidas INF CAP 1PC - M66933,29.0,55.0,47,noShipping,0,0,Spormarkt,99,1
19,Kadın Plaj Terliği Yeşil Pantone Desenli Sarı 932.,44.0,89.0,50,freeShipping,0,0,Modabutik,83,1
20,Gezer 12312M Erkek Terlik Kaymaz Taban Havuz Terliği,44.0,59.0,25,freeShipping,0,0,eylülsporoutlet,76,1
21,Aykkabı Torbası Mavi 70 gr 3 adet,34.0,0.0,0,noShipping,0,0,MarkaToptan,98,1
22,Kadın Spor Ayakkabı 1029-101-0008,45.0,68.0,33,noShipping,0,0,GOBLONDON,91,1
23,Gezer 9652 Deniz Plaj Banyo Havuz Günlük Erkek Terlik LACİVERT,49.0,59.0,17,freeShipping,0,0,pabucccu,65,1
24,JUMP Terlik 9069 F NAVY WHİTE PARMAK ARASI TERLİK,49.0,74.0,33,freeShipping,100,1,Keyspor,83,1
25,Slazenger OPAL Erkek Terlik Siyah / Kırmızı,32.0,64.0,50,noShipping,100,1,Slazenger,92,1
26,Walker Çocuk Halısaha Ayakkabısı Yeşil,44.0,69.0,36,freeShipping,100,1,HARDWALK,89,1
27,Hado RCN071 Erkek Ayakkabı Günlük Spor Ayakkabı Casual,44.0,99.0,55,noShipping,100,4,HadoShop,100,1
28,Süngerli El Yayi,35.0,0.0,0,freeShipping,100,1,performansspor,100,1
29,Kadın Yumuşak Taban Sneaker Spor Ayakkabı,44.0,99.0,55,freeShipping,0,0,OdesaAyakkabı,84,1
30,Emek Erkek Keten Günlük Ayakkabı rahat esnek kullanışlı,34.0,59.0,42,noShipping,80,2,eterlik,99,1
31,Slazenger FILANTO Erkek Terlik Lacivert,49.0,69.0,29,noShipping,0,0,Slazenger,92,1
32,Slazenger FABRI Kadın Terlik Siyah / Beyaz,49.0,64.0,23,noShipping,0,0,Slazenger,92,1
33,Kadın Spor Ayakkabı 1029-101-0009,38.0,57.0,33,noShipping,0,0,GOBLONDON,91,1
34,Kadın Spor Ayakkabı 1029-101-0001,37.0,56.0,33,noShipping,0,0,GOBLONDON,91,1
35,Gezer 10826 Kadın Terlik Jel Topuk Dikeni Terliği,49.0,69.0,29,freeShipping,0,0,eylülsporoutlet,76,1
36,Albishoes Unisex Çocuk Beyaz Pembe Cırtlı  Spor Ayakkabı,34.0,44.0,22,noShipping,0,0,albiterlik,81,1
37,Albishoes Kız Çocuk Pembe Spor Ayakkabı,34.0,44.0,22,noShipping,100,2,albiterlik,81,1
38,Gripy Erkek Keten Ayakkabı Yazlık Spor Ayakkabı Erkek Ayakkabı,44.0,79.0,44,noShipping,0,0,HadoShop,100,1
39,Kadın sneaker pudra,47.0,59.0,20,freeShipping,100,1,Yavuzkundura37,0,1
40,Toms Keten Espatin Ayakkabı,39.0,0.0,0,freeShipping,0,0,E-KandişAvm,98,1
41,"Uniseks Çocuk Sarı Sandalet,Plaj Terliği",39.0,79.0,50,freeShipping,0,0,sonexayakkabı,100,1
42,Slazenger OFF Çocuk Terlik Lacivert / Saks Mavi,49.0,59.0,17,noShipping,100,1,Slazenger,92,1
43,Ayakland Nprs 75 Air Günlük Bayan Spor Ayakkabı SİYAH,49.0,54.0,9,freeShipping,80,2,AykaButik,100,1
44,GARCIA Kids Shoes,29.0,0.0,0,freeShipping,0,0,Kandişavm,91,1
45,HECEMON Çocuk Spor Ayakkabı,39.0,0.0,0,freeShipping,0,0,E-KandişAvm,98,1
46,Takunya Hamam Terliği Plastik | ID1115,27.0,0.0,0,noShipping,90,3,EnUcuzToptan,98,1
47,Kadın Spor Ayakkabı 1029-101-0002,37.0,56.0,33,noShipping,0,0,GOBLONDON,91,1
48,Loppo kadın terlik 021,38.0,51.0,25,freeShipping,0,0,LOPPO,100,1
49,Sünger Tutamaçlı Iki Adet Deluxe El Yayı,38.0,49.0,23,freeShipping,0,0,NeptünKırtasiye,95,1
50,Crocs Jibbitz Terlik Süsü 6'lı Çizgi Dizi Serisi,39.0,0.0,0,freeShipping,0,0,BamHediyelik,100,1
51,Gezer 12070 Termal Kumaş Halı Erkek Terlik,35.0,105.0,67,noShipping,0,0,pabucccu,65,1
52,Reef Panter Parlak Kumaş Kadın Parmak Arası Terlik Orjinal,29.0,90.0,68,freeShipping,0,0,Graceskateshop,99,1
53,Çocuk Terliği,14.0,24.0,40,noShipping,0,0,Soon's,100,1
54,Kappa  Terlik FLAMINGO KIRMIZI,49.0,59.0,17,freeShipping,0,0,ahmsports,76,1
55,O'neill Parmak Arası Terlik Orjinal,30.0,90.0,67,freeShipping,0,0,Graceskateshop,99,1
56,O'neill Çocuk Parmak Arası Terlik Orjinal,25.0,90.0,72,freeShipping,0,0,Graceskateshop,99,1
57,Günlük Spor Ayakkabı Gri,48.0,199.0,76,freeShipping,0,0,ReyondaAyakkabı,0,1
58,PROMAX Erkek Çocuk Ayakkabı,49.0,0.0,0,freeShipping,0,0,Kandişavm,91,1
59,Gezer 12066 Erkek Terlik,39.0,0.0,0,freeShipping,0,0,sporttime,99,1
60,EV TERLİĞİ,29.0,0.0,0,freeShipping,0,0,sportif17,0,1
61,Gezer 12498 Günlük Siyah Erkek Terliği 12498,49.0,79.0,37,freeShipping,0,0,eylülsporoutlet,76,1
62,Avessa Atlama Ipi Mavi (JR-5622-M),39.0,0.0,0,freeShipping,0,0,MetinSpor,100,1
63,Gezer Havuz Plaj Patigi Deniz Ayakkabısı Filet (30-35),34.0,39.0,13,noShipping,100,1,Tokspor,100,1
64,Tamam Ledli Ayak Bileği Atlama Topu,34.0,0.0,0,freeShipping,0,0,TamamElek,100,1
65,Siyah Gri Çizgili Havuz Plaj Terlik AK014 Akınalbella,49.0,0.0,0,freeShipping,0,0,anlaşspor,100,1
66,Ev İçi Kışlık Çocuk Terlik,19.0,0.0,0,freeShipping,0,0,E-KandişAvm,98,1
67,DGN K200 BAYAN STRECH YILDIZ DETAYLI SPOR AYAKKABI,48.0,126.0,62,freeShipping,0,0,DGN,89,1
68,Andoutdoor Şeffaf Çocuk Deniz Ve Havuz Ayakkabısı Mavi 30,46.0,0.0,0,freeShipping,0,0,borsettaclub,95,1
69,Gezer 12291 Kaymaz Taban Kadın Terlik,44.0,59.0,25,freeShipping,20,1,eylülsporoutlet,76,1
70,EVA TABAN EV TERLİĞİ,34.0,0.0,0,freeShipping,0,0,sportif17,0,1
71,Lotix 3600 Laci-Gıri Cırtlı Yazlık Bebe Erkek Çocuk Spor Ayakkabı,44.0,59.0,25,freeShipping,20,1,Ayakcenter,100,1
72,LCN Unisex Beyaz Spor Ayakkabı,48.0,0.0,0,freeShipping,0,0,AlyaAyakkabı,0,1
73,Kiko Akn E072.001 Plaj Havuz Kız Çocuk Sandalet Terlik,47.0,0.0,0,freeShipping,0,0,Ayakland,100,1
